node_id,claim,verdict,description,date,url,source
155,"تراجعت إيرادات القناة 6 مليار دولار في السنة اللي فاتت دي بسبب اللي بيحصل في البحر الأحمر.. وكان بيعدي عندك 75 و80 سفينة في اليوم، النهاردة بيعدي 24 أو 27 سفينة
اقرأ التصحيح",TRUE,أحمد موسى هو إعلامي مصري، يقدم حاليًا برنامج على مسؤوليتي على قناة صدى البلد المصرية. شارك أحمد موسى في تقديم برنامج القاهرة والناس على شبكة أوربت حيث أثار الجدل حين دعى لقتل الجزائريين بعدما انتشرت أخبار تفيد باعتداء جزائريين على مصريين في السودان في مكان مباراة بين منتخب مصر لكرة القدم ومنتخب الجزائر لكرة القدم في تصفيات كأس العالم 2010 فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع,,https://www.saheeh.news/ar/node/155,saheeh_masr
157,هي إيه السياحة في قطر؟ عندك تاريخ؟ عندك شواطئ أو منتجعات، حاجة الناس تيجي تشوفها يعني، هنيجي نشوف ميليشيا أردوغان والحرس الثوري الإيراني، هو ده اللي موجود في قطر، أو السوق الشعبي أقدم حاجة هناك، وعمره 38 سنة,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-06T12:00:00Z,https://www.saheeh.news/ar/node/157,saheeh_masr
158,"في عهد السيسي عندنا 3602 مسجد ما بين بناء وتجديد بتكلفة وصلت إلى ـ6 مليار جنيه
اقرأ التصحيح",TRUE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",,https://www.saheeh.news/ar/node/158,saheeh_masr
159,عدد الصحفيين المحبوسين في مصر 9 زملاء فقط في قضايا جنائية,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-09T12:00:00Z,https://www.saheeh.news/ar/node/159,saheeh_masr
160,"الإحصاءات بتقول إن عندنا مليون توك توك بتجري في الشارع
اقرأ التصحيح",TRUE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",,https://www.saheeh.news/ar/node/160,saheeh_masr
161,المفارقة التي تستوقفك في شكوى الوزيرين طارق شوقي وهالة زايد أمام مجلس النواب أنهما الوزيران الوحيدان فى الحكومة، اللذان حدد لهما الدستور أرقامًا بعينها في الميزانية العامة للدولة,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-18T12:00:00Z,https://www.saheeh.news/ar/node/161,saheeh_masr
162,"وفاء عامر تنفع تبقى بطلة لو لقت منظومة تعملها كده، إن جوزها منتج دي شكليات، وبرغم إن جوزها منتج لكنها مبتشتغلش معاه
اقرأ التصحيح",TRUE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",,https://www.saheeh.news/ar/node/162,saheeh_masr
163,وفاء عامر تنفع تبقى بطلة لو لقت منظومة تعملها كده، إن جوزها منتج دي شكليات، وبرغم إن جوزها منتج لكنها مبتشتغلش معاه,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-09T12:00:00Z,https://www.saheeh.news/ar/node/163,saheeh_masr
164,4 شبكات إعلام دولية لقت مفيش صوت في تركيا إلا صوت أردوغان بس (..) فقالوا إزاي الأتراك 60 ولا 70 مليون دول ميبقاش ليهم صوت,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-01T12:00:00Z,https://www.saheeh.news/ar/node/164,saheeh_masr
165,بي بي سي من يومين طلع واحد من أشهر مذيعيها علق على صورة لابن الأمير هاري، وكتب تويتة، كان جزاؤه الفصل، هي دي حرية الرأي؟ ده مكتبش بيأيد الإرهابيين، وبيكلم عن الطفل اللي اتولد وحط صورته، وحط تعليق سخيف، فاتفصل واتطرد من الخدمة,FALSE,"فريق صحفي يعمل على تدقيق تصريحات المسئولين والسياسيين وصناع القرارات المؤثرة على حياتنا. نبحث عن الحقائق ونكشف الأكاذيب Saheeh Masr is a team of journalists who fact-check statements made by politicians, government officials, public figures and others who have an impact on public opinion in Egypt.",2019-05-13T12:00:00Z,https://www.saheeh.news/ar/node/165,saheeh_masr
